HAC0&	20:13:31.90&	-13:23:25.98&	V = 16.977&	D = 15.59&	   &	   \
HAC1&	20:16:10.15&	-09:25:35.58&	V = 17.238&	D = 18.31&	   &	   \
HAC2&	20:19:35.71&	-14:48:41.33&	V = 17.358&	D = 19.38&	   &	   \
HAC3&	20:21:40.64&	-14:13:17.90&	V = 17.115&	D = 17.66&	   &	   \
HAC4&	20:26:52.21&	-02:56:44.88&	V = 17.144&	D = 17.95&	   &	   \
HAC5&	20:27:04.43&	-12:17:03.88&	V = 17.019&	D = 17.46&	   &	   \
HAC6&	20:28:32.65&	-05:55:30.25&	V = 16.893&	D = 16.12&	   &	   \
HAC7&	20:29:56.12&	-09:00:15.44&	V = 17.41&	D = 19.9&	   &	   \
HAC8&	20:30:11.61&	-11:49:40.40&	V = 17.277&	D = 19.36&	   &	   \
HAC9&	20:30:49.06&	-05:30:30.78&	V = 16.751&	D = 15.34&	130.2&	MDM\
HAC10&	20:31:19.86&	-13:12:54.25&	V = 17.072&	D = 17.97&	   &	   \
HAC11&	20:31:28.32&	-09:48:20.05&	V = 16.87&	D = 15.66&	-174.7&	MDM\
HAC12&	20:32:35.70&	-02:08:08.84&	V = 17.175&	D = 15.41&	   &	   \
HAC13&	20:32:52.87&	-08:10:54.19&	V = 17.125&	D = 18.19&	   &	   \
HAC14&	20:34:35.62&	-07:32:51.25&	V = 16.956&	D = 16.59&	   &	   \
HAC15&	20:34:42.39&	-05:22:18.98&	V = 17.13&	D = 18.24&	   &	   \
HAC16&	20:36:14.36&	-00:30:18.76&	V = 17.394&	D = 17.5&	   &	   \
HAC17&	20:37:29.72&	-05:21:20.88&	V = 17.223&	D = 18.74&	   &	   \
HAC18&	20:37:58.26&	-06:18:41.72&	V = 17.132&	D = 18.07&	   &	   \
HAC19&	20:38:36.28&	-16:37:14.30&	V = 17.219&	D = 18.48&	   &	   \
HAC20&	20:40:05.45&	-10:43:15.56&	V = 16.854&	D = 15.98&	   &	   \
HAC21&	20:40:16.96&	-06:21:06.19&	V = 16.701&	D = 15.29&	20.7&	MDM\
HAC22&	20:40:19.42&	-06:09:39.56&	V = 16.805&	D = 15.69&	195.2&	MDM\
HAC23&	20:41:08.21&	-11:31:43.43&	V = 17.057&	D = 17.77&	   &	   \
HAC24&	20:41:34.06&	-11:14:48.73&	V = 17.194&	D = 18.85&	   &	   \
